name,sex,breed,color
Szõrmók,male,Unknown Mix,black and brown
Otis,male,German Shepherd Dog,black and tan
Janka,female,"Dachshund, German Shepherd Dog, Labrador Retriever Mix",black
Vihar,male,Unknown Mix,black and white
Zeusz,male,Unknown Mix,black and white
Kira,female,Unknown Mix,brown
Maja,female,German Shepherd Dog Mix,black and brown
Domino,male,Unknown Mix,black and white
Mama,female,Dachshund Mix,black and brown
Botond,male,Unknown Mix,apricot
Bella,female,Unknown Mix,black and white
Alma,female,Unknown Mix,black and brown
Baba,male,Unknown Mix,red
Zizi,female,Unknown Mix,black
Sophie,female,German Shepherd Dog Mix,wild boar
Brigi/Bella,female,Unknown Mix,black and white
Gyõzõ,male,Newfoundland Mix,black
Arany,female,Puli,black
Gitta,female,Staffordshire Terrier Mix,brown and white
Sári,female,Unknown Mix,yellow-brown
Gina,female,Unknown Mix,brown
Lady,female,German Shepherd Dog Mix,black and brown
Billy,male,Unknown Mix,striped
Mázli,male,Unknown Mix,sable
Muki,male,Unknown Mix,black
Kajla,male,Dachshund Mix,yellow-brown
Süti,male,Unknown Mix,apricot
Robi,male,German Shepherd Dog Mix,sable
Tánó,male,Unknown Mix,black
Sherry,male,Unknown Mix,black and white
Omaha,female,Unknown Mix,white
Lili,female,Unknown Mix,brown
Reni,male,German Shepherd Dog Mix,black and brown
Benjy,male,Unknown Mix,gray and white
Kevin,male,Dachshund Mix,yellow
Bejgli,female,Unknown Mix,black
Voice,male,Unknown Mix,brown and white
Andris,male,Unknown Mix,black and brown
Bubika,female,German Shepherd Dog Mix,sable
Betti,female,Unknown Mix,black and brown
Amigo,male,Unknown Mix,black and tan
Kefir,male,Dachshund Mix,red and white
Wendy,female,Unknown Mix,black
Geda,male,Unknown Mix,yellow
Kondás,male,Puli,black
Tyson,male,Staffordshire Terrier,striped
Lehel,male,German Shepherd Dog Mix,red
Mister,male,Unknown Mix,yellow-brown
Alíz,female,Vizsla Mix,brown
Nana,female,Kuvasz,white
Hekus,male,German Shepherd Dog Mix,black and tan
Kajla,female,Unknown Mix,red
Erik,male,Unknown Mix,brown
Alaska,female,West Highland White Terrier Mix,gray and white
Maxim,male,German Shepherd Dog Mix,saddle back
Pici,female,Unknown Mix,tricolor
Barki,male,Unknown Mix,brown
Afgán,male,Afghan Hound,apricot
Kerry,female,Unknown Mix,black
Kevin,male,Unknown Mix,white
Bajnok,male,Vizsla Mix,brown
Baily,male,Unknown Mix,yellow-brown
Viki,female,Unknown Mix,black
Vándor,male,Unknown Mix,black and brown
Astra,male,Siberian Husky,black and white
Pulcsi,male,Puli,black
Pajtás,male,Vizsla Mix,yellow-brown
Egri Vitéz,male,"Bearded Collie, Staffordshire Terrier Mix",black and white
Rocky,male,Unknown Mix,spotty
Alma,female,Unknown Mix,black
Ödön,male,Unknown Mix,brown
Tacsika,male,Dachshund Mix,wild boar
Rotika,male,Rottweiler Mix,black and tan
Leó,male,Siberian Husky,black and white
Tódor,male,Labrador Retriever Mix,black
Szamoskéri Fanta,female,"German Shepherd Dog, Greyhound Mix",black
Rex,male,German Shepherd Dog Mix,black and brown
Gizmó,female,Pekingese Mix,black
Römi,male,Labrador Retriever Mix,yellow-brown
Conor,male,Unknown Mix,black
Bibo,male,Unknown Mix,black
Blacky,male,Labrador Retriever Mix,black
Örzse,female,Unknown Mix,tricolor
Lotti,female,Staffordshire Terrier Mix,golden
Keres Emil,male,Unknown Mix,white
Paul,male,Unknown Mix,black
Lord,male,Dachshund Mix,black and white
Gina,female,Staffordshire Terrier Mix,brown
Maci/Zoé,female,Unknown Mix,brown
Mókus,female,"Dachshund, English Cocker Spaniel, Whippet Mix",yellow-brown
,female,Unknown Mix,black
Smokey,male,Unknown Mix,black
Bogi,female,Puli Mix,black
Morzsa/Démon,female,Unknown Mix,black and brown
Félix,male,Puli Mix,apricot
Dezsõ,male,Unknown Mix,yellow
Donna,female,Staffordshire Terrier Mix,brown
Coyote,male,German Shepherd Dog Mix,sable
Pirinyó,female,"Chihuahua, Pinscher Mix",black and tan
Kis Jani,male,Briard Mix,yellow-brown
Ferdinánd,male,German Shepherd Dog Mix,tricolor
Benõ,male,Labrador Retriever Mix,black
Lavor,female,Labrador Retriever Mix,black
Rudolf,male,Unknown Mix,black
Rocky,male,German Shepherd Dog,black and tan
Gitta,female,Unknown Mix,brown
Oreo,male,Dachshund Mix,black
Tirza,female,Staffordshire Terrier Mix,striped
Fõnök,male,Unknown Mix,sable
Grisella,female,German Shepherd Dog,gray
Csorba,male,Unknown Mix,gray
Mojka,female,Unknown Mix,gray and white
Soki,male,Unknown Mix,black
Tadeus,male,Unknown Mix,black and tan
Mali,female,Unknown Mix,yellow-brown
Csubakka,male,Unknown Mix,gray
Bombur,male,Labrador Retriever Mix,black
Ferina,female,Unknown Mix,yellow-brown
Vicus,female,Unknown Mix,yellow-brown
Lajka,male,Vizsla Mix,black and brown
Csiperke,female,Unknown Mix,yellow-brown
Allergra,female,Staffordshire Terrier Mix,brown and white
Cintia,female,Unknown Mix,yellow-brown
Csutak,male,Pekingese Mix,red and white
Héra,female,Staffordshire Terrier Mix,brown
Juli,female,Unknown Mix,brown
Önkéntes,male,German Shepherd Dog Mix,black and brown
Jimmy,male,Unknown Mix,apricot
Fülöp,male,Schnauzer Mix,black
Lex,male,Unknown Mix,yellow-brown
Semyr,male,Belgian Malinois Mix,saddle back
Perecesi Gazdikeresõ,female,Unknown Mix,black
Chris,male,Staffordshire Terrier Mix,black and tan
Bütyõk,female,"Puli, Pumi Mix",black
Gömbi,male,German Shepherd Dog Mix,black and tan
Lime,female,English Cocker Spaniel,black
Cibil,female,Unknown Mix,brown and white
Liza,female,Rottweiler Mix,black and tan
Niké,female,Unknown Mix,black and tan
Dagi,male,"Dachshund, Terrier Mix",black and brown
Mona,female,Dachshund Mix,striped
Rupert,male,Pumi Mix,black
Toffife,male,Unknown Mix,black and brown
Hobó,male,Giant Schnauzer,black
Befogadott Kutya Gazdát Keres,male,"Dachshund, Labrador Retriever Mix",brown and white
Saci,female,"Schnauzer, Spaniel Mix",black
Fáncsi,female,Staffordshire Terrier Mix,black and white
Lucy,female,Unknown Mix,black and white
Hendó,male,Staffordshire Terrier Mix,striped
Laki,male,Unknown Mix,black
Gömbi,male,Unknown Mix,gray
Lédi,female,Unknown Mix,black
Ivett,female,Cane Corso,black
Szentgotthárdi Rex,male,"Belgian Malinois, Greyhound Mix",yellow
Eddy,male,Unknown Mix,black and brown
Kormi,male,Unknown Mix,black and brown
Új Gazdát Keres,female,Havanese,black and white
Dorren,male,Unknown Mix,gray
Pita I.,female,Unknown Mix,tricolor
Kolos,male,Unknown Mix,black
Hudini,male,Unknown Mix,black
Jily,female,Unknown Mix,black
Kicsi,female,Unknown Mix,brown
Gizi,female,Vizsla Mix,brown
Camy,male,Staffordshire Terrier,black
Borzos,male,Old German Shepherd,black and brown
Bundás,female,Unknown Mix,black and brown
Belgák,male,Belgian Sheepdog Mix,black and brown
Becky,female,Staffordshire Terrier Mix,striped
Bodri,male,Puli,gray
Betyár,male,Unknown Mix,brown
Lennox,male,Unknown Mix,brown and white
Dalton,male,Unknown Mix,striped
Lati,male,Unknown Mix,sable
Buksi,male,Setter Mix,black
Greg,male,Unknown Mix,brown and white
Bobi,male,Unknown Mix,gray
Marcus,male,Unknown Mix,black and brown
Buena,female,Unknown Mix,black and brown
Boxi,male,Unknown Mix,brown
Beka,female,Unknown Mix,black
Brissi,female,Unknown Mix,black
Jose,male,Unknown Mix,brown and white
Bald,male,Unknown Mix,brown
Mazsi,female,Labrador Retriever Mix,black
Szami,female,Unknown Mix,black
Linda,female,Unknown Mix,black
Janka,female,Unknown Mix,black
Tücsök,female,Dachshund Mix,black and tan
Huncutka,female,German Shepherd Dog Mix,black and tan
Artúr,male,Unknown Mix,gray and white
Lady,female,Unknown Mix,yellow-brown
Bodrog,male,Unknown Mix,yellow-brown
Bobi,male,German Shepherd Dog Mix,sable
Gigi,female,Pointer Mix,dotted
Rexi,male,Unknown Mix,sable
Johnny,male,Unknown Mix,saddle back
Bea,female,German Shepherd Dog Mix,sable
Homár,male,Unknown Mix,black
Táncos,male,Unknown Mix,yellow-brown
Frenki,male,Labrador Retriever Mix,yellow-brown
Lui,male,Unknown Mix,black
Süti,male,Beagle,tricolor
Hajni,female,Unknown Mix,black
Baltazár,male,Pumi Mix,black
Bogyó,female,Dachshund Mix,brown
Torma,male,Unknown Mix,black and tan
Csöpi,female,Unknown Mix,saddle back
Sajóvámosi  Gazdikeresõ,male,Unknown Mix,striped
Bogyi,female,Unknown Mix,black
Bob,male,Unknown Mix,yellow
Német Juhász Gazdát Keres,male,German Shepherd Dog,black and tan
Lucy,female,Hovawart Mix,black and brown
Nusi,female,Unknown Mix,brown
Alíz,female,Unknown Mix,black
Dorka,female,German Pointer Mix,brown
Bessy,female,German Shepherd Dog,black and tan
Keverék Kutyus Gazdit Keres,female,Dachshund Mix,black and brown
Angel,female,Unknown Mix,yellow-brown
Keverék Kiskutya Gazdit Keres,male,Unknown Mix,white
Gyufa,male,Dachshund Mix,black and white
,female,Unknown Mix,yellow-brown
Linda,female,Unknown Mix,brown
Gabi,male,German Shepherd Dog Mix,black and brown
Tacsi Pacsi,male,Unknown Mix,black
Demi,male,Dachshund Mix,brown
Gazdát Keres,female,Caucasian Ovtcharka,saddle back
Katie,female,Labrador Retriever Mix,yellow
Roxána,female,Fox Terrier Mix,tricolor
Thomas,male,Unknown Mix,tricolor
Cuki,male,Unknown Mix,red
Adél,female,Unknown Mix,striped
Írisz,female,Unknown Mix,black
Kendi,female,Unknown Mix,black and brown
Cipó,male,Unknown Mix,tricolor
Cinke,female,Fox Terrier Mix,black and white
Morgen,male,Unknown Mix,brown
Isti,male,Unknown Mix,black
Lora,female,Unknown Mix,black
Mázli,male,Dachshund Mix,black
Dani,male,Unknown Mix,yellow-brown
Cliff,male,Staffordshire Terrier Mix,black and brown
Vendi,male,Unknown Mix,brown
Polly,female,Unknown Mix,black
Szigethalmi Maci,male,Caucasian Ovtcharka,gray and white
Gléda,female,Unknown Mix,black
Stella,female,Unknown Mix,black
Klió,male,Unknown Mix,black and white
Gandalf,male,Unknown Mix,white
Gomez,male,Unknown Mix,white
Gixer,male,Unknown Mix,saddle back
Csipszi,female,Whippet Mix,black and brown
Hudini,female,Unknown Mix,red and white
Sámson,male,Unknown Mix,gray
Gréta,female,Unknown Mix,black and brown
Garbó,male,Unknown Mix,brown
Gamma,female,Unknown Mix,brown
Mecset,male,Unknown Mix,white
Német Juhász Keverék Gazdát Keres,male,"German Shepherd Dog, Siberian Husky Mix",black and brown
Dézi És Bogár,female,German Shepherd Dog,black and tan
Piroska,female,Pinscher Mix,brown
Glenda,female,Unknown Mix,black
Cuki,female,Unknown Mix,spotty
Áfonya,female,Beagle Mix,yellow
Noel,male,Spaniel Mix,black and white
Német Juhász Gazdától Hirdetve,male,German Shepherd Dog,black and tan
Kira,female,"Chinese Shar-Pei, Vizsla Mix",black
Kormi,female,Dachshund Mix,black
Pongó,male,Puli Mix,black
Klotild,female,Unknown Mix,black and white
Mente,female,Unknown Mix,black
Süti,female,Unknown Mix,black and white
Bella,female,Unknown Mix,brown
Brenda,female,Unknown Mix,black and brown
Szõrmók,male,Dachshund Mix,wild boar
Rozikakutya,female,Spaniel Mix,golden
Dörzsi,male,Welsh Terrier Mix,black and tan
Puli Gazdától Hirdetve,female,Puli,black
Bundi,female,Unknown Mix,black and brown
Gazdieresõ Kölykök,male,Unknown Mix,brown and white
Nonó,female,"Fox Terrier, Staffordshire Terrier Mix",tricolor
Boróka,female,Unknown Mix,black
Sarolta,female,Unknown Mix,black and white
Keverék Kutya Befogadótól Hirdetve,male,Unknown Mix,black and brown
Forest,male,English Cocker Spaniel,brown
Kende,male,Unknown Mix,black and tan
Ágota,female,Labrador Retriever Mix,black
Tipi,male,Unknown Mix,gray
Árván Maradt Kutyus Gazdit Keres,male,Unknown Mix,black
Szultán És Jessy,male,Schnauzer Mix,gray
Új Gazdát Keres,male,Canary Dog Mix,apricot
Mályiban Talált Kutyus,female,Dachshund Mix,tricolor
Keverék Kutyusok Gazdit Keresnek,male,Unknown Mix,black and white
Negro,male,Schnauzer Mix,black
Börnike,male,Fox Terrier Mix,brown and white
Gazdától Hirdetve,male,Unknown Mix,tricolor
Keverék Szuka Kutyus Befogadótól,female,Unknown Mix,black and white
Álmos,male,Labrador Retriever Mix,black
Árvácska,female,Labrador Retriever Mix,black
Zazi,male,Puli Mix,black
Rex,male,German Shepherd Dog,saddle back
Manuel,male,Puli,black
Rodolfo,male,Unknown Mix,black
Ócsai Borsa,male,Schnauzer Mix,black
Bálint,male,"Dachshund, Spaniel Mix",brown
Lui,male,Labrador Retriever Mix,black
Bingó,male,Dachshund Mix,black and white
Luna,female,Unknown Mix,black
Ági,female,Labrador Retriever Mix,black
Ágnes,male,Labrador Retriever Mix,black
Molly,female,Unknown Mix,brown
Wilbur,male,Unknown Mix,apricot
Loki,male,Unknown Mix,striped
Vénusz,female,Unknown Mix,brown
Új Gazdát Keres,male,German Shepherd Dog Mix,black and tan
Soma,male,Spaniel Mix,black and tan
Maci,male,Tibetan Mastiff Mix,black
Hoffmann,male,Labrador Retriever Mix,black
Vojtek,male,Unknown Mix,black and white
Lobo,male,Unknown Mix,black
Lui,male,Labrador Retriever,black
Tea,female,German Shepherd Dog Mix,black and brown
Füles,male,Dachshund Mix,black and brown
Bundi,female,Puli Mix,black
Vagány,male,Unknown Mix,gray
Akela,female,Unknown Mix,saddle back
Stella,female,Unknown Mix,black
Mary,female,Unknown Mix,saddle back
Bora,female,Terrier Mix,black and tan
Borcsa,female,Terrier Mix,brown
Janka,female,Puli Mix,apricot
Lusti,female,"Dachshund, Pekingese Mix",tricolor
Tepertõ,male,Unknown Mix,black
Töki,male,Unknown Mix,golden
Félix,male,Fox Terrier,tricolor
Negró,male,Unknown Mix,black
Bingó,male,Terrier Mix,brown
Dini,male,Unknown Mix,brown
Morzsi,male,German Shepherd Dog Mix,saddle back
Pici,female,Unknown Mix,black and brown
Páfrány,female,Unknown Mix,black
Dixi,male,Unknown Mix,black
Pamacs,female,Unknown Mix,black
Ilka,female,Dachshund Mix,saddle back
Devil,male,Staffordshire Terrier Mix,striped
Kormi,female,Unknown Mix,black
Bodri,male,Unknown Mix,black and white
Sandy,female,Labrador Retriever Mix,golden
Lola,female,Spaniel,black
Anics,female,Unknown Mix,yellow-brown
Bencus,male,Unknown Mix,yellow-brown
Emõdi Gazdikeresõk,male,German Shepherd Dog Mix,black and brown
Jenny,female,Unknown Mix,black and brown
Noróka,male,Unknown Mix,black
Kanga,female,Schnauzer Mix,black
Lottie,female,Unknown Mix,yellow-brown
Szemi,female,Vizsla Mix,black
Tacsi Keverék Gazdit Keres,male,"Dachshund, Fox Terrier Mix",black and brown
Paul,male,Unknown Mix,yellow-brown
Gáspár,male,English Cocker Spaniel Mix,black
Bocskaikerti Minnie,female,Unknown Mix,black
Retro,male,Unknown Mix,brown
Bocskaikerti Mickey,male,Unknown Mix,black
Cédrus,male,Unknown Mix,black
Charlie &Amp,male,Unknown Mix,black and tan
Roland,male,Puli Mix,black
Brútusz,male,Unknown Mix,brown
Johnny,male,Unknown Mix,white
Rozi,female,"German Shepherd Dog, Transylvanian Hound Mix",black and tan
Vilu,female,Unknown Mix,yellow-brown
Nutella,female,Unknown Mix,black and brown
Mirza,female,English Cocker Spaniel,black and brown
Gombócka,male,"Border Collie, Spaniel Mix",black and white
Ugró,male,Labrador Retriever Mix,black
Rexi,male,"Labrador Retriever, Staffordshire Terrier Mix",brown
Gombóc,male,Unknown Mix,black and tan
Morzsika,male,Unknown Mix,gray
Bogyó,male,German Shepherd Dog,sable
Kajla,male,Unknown Mix,tricolor
Borzas,male,Puli Mix,black
Zakia,female,Unknown Mix,black
Virgonc,male,Unknown Mix,black and brown
Áfonya,female,"Bull Terrier, Fox Terrier, Staffordshire Terrier Mix",striped
Vándor,male,Unknown Mix,black and brown
Ékes,female,German Shepherd Dog Mix,sable
Rágcsa,female,Unknown Mix,black
Zulu,male,German Shepherd Dog Mix,black and brown
Brunhilde,female,Unknown Mix,black and brown
Közép,male,Central Asian Ovtcharka,brown and white
Orfeusz,male,German Shepherd Dog Mix,black and tan
Táltos,male,"Greyhound, Transylvanian Hound Mix",black
Bundás,male,Labrador Retriever Mix,yellow-brown
June,female,Caucasian Ovtcharka Mix,gray
Vili,male,Unknown Mix,black
Maxi,male,Unknown Mix,black and tan
Max,male,Unknown Mix,saddle back
Tequila,male,Unknown Mix,black
Bodri,female,Jagd Terrier Mix,black and brown
Bumbi,female,Komondor,white
János,male,Unknown Mix,black
Bonnie,female,German Shepherd Dog Mix,black and brown
Zorro,male,Caucasian Ovtcharka Mix,brown
Bigyó,female,Unknown Mix,black
Kacér,female,Unknown Mix,brown and white
Labi,male,Labrador Retriever Mix,brown and white
Fecske Mama,female,Transylvanian Hound Mix,black and brown
Negró,male,Unknown Mix,black
Dexi,male,Komondor Mix,yellow-brown
Parázs,female,Unknown Mix,brown
Bond,male,Unknown Mix,yellow-brown
Szõrme,male,Unknown Mix,black
Riky,male,German Shepherd Dog Mix,sable
Tuba,male,German Pointer Mix,brown
Szendrõi Kutyus Gazdit Keres,female,Unknown Mix,black and brown
Ms. Daisy,female,Beagle,tricolor
Grul,male,Unknown Mix,black and brown
Lucky,male,"Boxer, Hungarian Vizsla Mix",brown
Ladányi Turmix,female,Dachshund Mix,striped
Wombi,male,Unknown Mix,yellow-brown
Miro,male,Unknown Mix,brown
Kistestû Kutya,female,"Dachshund, Fox Terrier Mix",black and brown
Mendei Mia,female,Unknown Mix,brown
Pannika,female,Unknown Mix,brown
Penna,female,Vizsla Mix,black and white
Sos,male,German Shepherd Dog Mix,black
,female,Unknown Mix,black
Herceg,male,Dogo Argentino Mix,white
Nina,female,Unknown Mix,black and tan
Kond,male,"Dachshund, Pekingese Mix",brown
Rebeka És Molli,female,Unknown Mix,black
Buci,male,Boxer Mix,striped
Nebo,male,Unknown Mix,black and brown
Pötty,female,Unknown Mix,black
Negra,female,Unknown Mix,gray
Pille,female,Bernese Mountain Dog Mix,tricolor
Fürge,male,Unknown Mix,red
Ond,male,"Dachshund, Pekingese Mix",brown
Sólyom,male,Unknown Mix,brown
Lencsi,female,Dachshund Mix,brown
Tsiki,female,Unknown Mix,striped
Molli,female,Siberian Husky Mix,tricolor
Sos,female,Puli,black
Lali,male,Kuvasz Mix,white
Kicsi,male,Unknown Mix,brown
Mátyás,male,Unknown Mix,black
Fecó,male,Newfoundland Mix,black
Lujzi,female,Unknown Mix,red and white
Zafír,female,"Chinese Shar-Pei, Labrador Retriever Mix",white
Frici,male,"Kuvasz, Labrador Retriever Mix",yellow-brown
Zénó,male,Labrador Retriever,yellow-brown
Shadow,female,German Shepherd Dog Mix,saddle back
Bullmasztiff Gazdától Hirdetve,male,Bullmastiff,yellow-brown
Inárcsi Artúr,male,"Hound, Vizsla Mix",saddle back
Süti,female,Fox Terrier Mix,black and white
Budakeszi Snoopy,male,Labrador Retriever Mix,black and white
Rozi,female,Labrador Retriever Mix,yellow-brown
Pamacs,male,Pekingese Mix,brown and white
Tangó,male,Unknown Mix,black
Kopó,male,Hound Mix,black and tan
Manó,female,Siberian Husky Mix,gray and white
Dagi,male,Rottweiler Mix,black and brown
Barni,male,Unknown Mix,black
Miskolci Bleki,male,Hound Mix,black and tan
Mackó,female,Siberian Husky Mix,gray and white
Murphy,male,"American Bulldog, Dogo Argentino Mix",white
Zeusz,male,"Hound, Staffordshire Terrier Mix",brown and white
Vanda,female,Dogo Argentino,white
Ali,male,American Bulldog,white
Parsifal,male,Dogo Argentino,white
Pocak,male,Spaniel Mix,black and brown
Báró,male,Staffordshire Terrier,yellow-brown
Spike,male,Dogo Argentino,white
Szotyi,male,Schnauzer Mix,black
Lonci,female,Labrador Retriever Mix,brown
Luna,female,Dogo Argentino,white
Pocahontas,female,English Cocker Spaniel Mix,black
Bodáncs,male,Unknown Mix,black
Lina,female,Staffordshire Terrier,white
Bátor,male,Unknown Mix,black
Tequila,male,Dachshund Mix,brown
Scarlett,female,"Dogo Argentino, Staffordshire Terrier Mix",white
Sultan,male,Dogo Argentino,white
Keverék Kiskutyák!,male,Unknown Mix,black and brown
James,male,Dogo Argentino,white
Mennydörgés,male,Unknown Mix,red
Picike,female,Unknown Mix,red
Barát,male,"Dachshund, German Shepherd Dog Mix",black and brown
Coco,female,Dachshund Mix,black
Boti,male,Unknown Mix,black and white
Eperjesi Musi,female,Unknown Mix,black and tan
Lara,female,Staffordshire Terrier Mix,yellow-brown
Jámbor,male,Unknown Mix,red
Picur,male,Fox Terrier Mix,yellow-brown
Bumeráng,male,Jack Russell Terrier,tricolor
Omar/Rex,male,Unknown Mix,black and brown
Szépfiú,male,Unknown Mix,brown
Lego,male,Tibetan Terrier Mix,white
Fannie,female,Chinese Shar-Pei Mix,black
Frédi,male,Dachshund Mix,brown
Tapi,female,Unknown Mix,brown
Néró,male,Golden Retriever Mix,yellow-brown
Tóni,male,Unknown Mix,black
Drazsé,male,Dachshund Mix,black and tan
Hajnal,female,Unknown Mix,red
Zseton,female,Unknown Mix,black
Péntek,male,Unknown Mix,black
Chilli,male,German Shepherd Dog Mix,black and brown
Baba,female,Unknown Mix,spotty
Nándi,male,Unknown Mix,black and white
Lucky,male,German Shepherd Dog Mix,black and tan
Hekk,male,Dachshund Mix,brown and white
Fülöp,male,Unknown Mix,saddle back
Keverék Kutya Gazdát Keres,male,Unknown Mix,red
Kölykök,male,Unknown Mix,apricot
Pörkölt,male,"German Shepherd Dog, Schnauzer Mix",gray and white
Henry,male,German Shepherd Dog,saddle back
Bogyó,female,"Labrador Retriever, Vizsla Mix",black
Dolfie,male,Rottweiler Mix,black and tan
Morfeusz,male,Unknown Mix,yellow-brown
Luca,female,Unknown Mix,white
Kyra,female,Unknown Mix,black and tan
Dzsoki,male,French Bulldog Mix,black
Tala,female,"Dachshund, Labrador Retriever Mix",white
Nessie,female,Dachshund Mix,yellow-brown
Kakucsi Fickó,male,Puli Mix,black
Bobi,male,Unknown Mix,brown
Luck,male,Chinese Shar-Pei Mix,brown
Morgó,male,Unknown Mix,spotty
Bones,female,German Pointer,gray and black
Maszat,male,Unknown Mix,brown
,female,Unknown Mix,red
Hektor,male,Unknown Mix,black and tan
Bálfi,male,Labrador Retriever Mix,yellow-brown
,female,German Shepherd Dog,black and brown
Clinton,male,Unknown Mix,brown
Gertrúd,female,Labrador Retriever Mix,black
Rokkfort,male,Unknown Mix,black and tan
Hajas,male,"Dachshund, Vizsla Mix",golden
Virgonc,female,Unknown Mix,apricot
Csibész,male,Unknown Mix,black
Benji És Morzsi,male,Unknown Mix,yellow-brown
Marci,male,Golden Retriever,golden
Don Juan,male,Chihuahua,apricot
Hipo,male,"Havanese, Poodle Mix",white
Forget,male,Hovawart Mix,golden
Tony,male,Unknown Mix,black
Mira,female,Unknown Mix,yellow-brown
Tracy,female,Fox Terrier Mix,tricolor
Felsõpakonyi Beni,male,German Shepherd Dog Mix,yellow
Shy,female,Unknown Mix,black
Gin,male,German Shepherd Dog Mix,saddle back
Jázmin,female,Unknown Mix,brown
Kozma,male,Unknown Mix,black
Spakli,male,Unknown Mix,wild boar
Luca,female,Unknown Mix,black and brown
Hattyú,female,Unknown Mix,black and white
Mufurc,male,Chinese Shar-Pei Mix,black
Index,male,Unknown Mix,black and white
,male,"Boxer, Schnauzer Mix",striped
Aramis,male,German Shepherd Dog Mix,black and brown
Vili,male,Unknown Mix,yellow
Boni,male,Puli Mix,black
Petra,female,German Shepherd Dog,black and brown
Bumeráng,female,Hound Mix,black and brown
Niko,male,Caucasian Ovtcharka Mix,apricot
Wellington,male,Unknown Mix,black and white
Szizó,male,German Shepherd Dog Mix,black and brown
Ostya,female,Labrador Retriever Mix,yellow-brown
Csobor,male,Pumi Mix,black
Csibész,male,Labrador Retriever Mix,black
Hasso,male,Staffordshire Terrier,striped
Alsónémedi Sumi,male,"Schnauzer, Terrier Mix",gray
Dió,female,"Spaniel, Terrier Mix",gray
Bora,female,"Labrador Retriever, Vizsla Mix",black
Mátka,female,"Puli, Terrier Mix",black
"""Pötyi""",male,Fox Terrier,tricolor
Said,male,"Kuvasz, Labrador Retriever Mix",yellow-brown
Panka,female,German Shepherd Dog Mix,sable
Betty,female,Staffordshire Terrier Mix,yellow-brown
Pisze,female,German Shepherd Dog Mix,black
Murphy,male,Unknown Mix,brown
Nyafi,female,Dachshund Mix,black and tan
Csíkoska,male,Dachshund Mix,tricolor
Artur,male,Unknown Mix,saddle back
Penelope,female,Unknown Mix,black
Paula,female,Chinese Shar-Pei Mix,yellow-brown
Bongo,male,Unknown Mix,black and white
Bonna,female,Unknown Mix,black and white
Toni,male,Unknown Mix,brown
Teddy,male,Unknown Mix,black and brown
Csibész,male,Labrador Retriever Mix,black and white
Bonzo,male,Unknown Mix,black and brown
Mia,female,Unknown Mix,golden
Alesandro,male,Unknown Mix,brown
Bia,female,Unknown Mix,black
Mozart,male,Unknown Mix,black and white
Oscar,male,Unknown Mix,white
Nandi,male,Unknown Mix,black
Tyson,male,Chinese Shar-Pei,red and white
Bunny,female,Unknown Mix,brown and white
Vincent,male,Unknown Mix,gray
Guriga,male,Unknown Mix,brown and white
Rozsdás,male,Hungarian Vizsla,brown
Tino,male,Unknown Mix,black and brown
Murci,female,"Boxer, Staffordshire Terrier Mix",striped
Maszat,male,Dachshund Mix,black and brown
Extra Sos!,male,"Beagle, Labrador Retriever, Scotch Collie Mix",tricolor
Kyra,female,Unknown Mix,black and brown
Tedi,male,German Pointer Mix,brown
Brutus,male,Staffordshire Terrier Mix,brown and white
,male,Unknown Mix,black
Bonnie,female,Unknown Mix,black and white
Borzas,male,Fox Terrier Mix,apricot
Hanzi,male,Unknown Mix,tricolor
Csibész,male,Labrador Retriever Mix,black
Kormos,male,"German Shepherd Dog, Labrador Retriever Mix",black
Vinu,female,Unknown Mix,black and brown
Osza,male,Puli Mix,gray
Acél,male,"Belgian Malinois, Belgian Sheepdog Mix",black
Barka,female,Vizsla Mix,dotted
Brutus,male,Dogo Argentino Mix,white
Lara,female,Unknown Mix,apricot
Jelcin,male,"Pumi, Schnauzer Mix",gray and white
Alkony,male,"Belgian Malinois, Belgian Sheepdog Mix",yellow-brown
Melanie,female,Unknown Mix,black and white
Stan,male,Spitz,apricot
Bourboun,male,Unknown Mix,apricot
ony,male,Labrador Retriever Mix,black
Tamara,female,Unknown Mix,tricolor
Mangó,female,Unknown Mix,apricot
Bubi,female,Unknown Mix,apricot
Otto,male,Unknown Mix,yellow-brown
Ramina,female,Unknown Mix,black
Imola És Ilcsi,female,Terrier Mix,brown and white
Bogárka,female,Unknown Mix,black and white
Emily,female,Unknown Mix,yellow-brown
Cinti,female,Unknown Mix,black
,male,Unknown Mix,black
Scott,male,Shih Tzu Mix,apricot
Brúnó,male,Unknown Mix,brown
Hanry,male,Unknown Mix,black and brown
Stella,female,Unknown Mix,brown and white
Enzo,male,Unknown Mix,black and white
Diamond,female,Unknown Mix,apricot
Berta,female,Beagle Mix,apricot
Dandy,male,Unknown Mix,yellow-brown
Draffy,male,Unknown Mix,yellow-brown
Lapu,female,Pekingese,apricot
Dása,female,Unknown Mix,apricot
Csöpke,male,"Dachshund, Pekingese Mix",black and brown
Kormos Lali,male,Puli Mix,gray
Konrad,male,Unknown Mix,yellow-brown
Zsanna,female,Dachshund Mix,apricot
Sophia,female,Unknown Mix,brown and white
Ruby,female,Unknown Mix,sable
Lucifer,male,Unknown Mix,apricot
Debby,female,Unknown Mix,yellow-brown
Darwin,male,Unknown Mix,yellow-brown
,male,Unknown Mix,golden
,male,Golden Retriever,golden
